date,away_abbr,away_name,away_score,home_abbr,home_name,home_score,year,neutral,away_short_rest,away_long_rest,home_short_rest,home_long_rest,dvoa,home_off_dvoa,away_off_dvoa,sp_dvoa,team_rankings_rating,strength_of_schedule,away_points_per_play,away_yards_per_play,away_yards_per_rush,away_yards_per_pass,home_points_per_play,home_yards_per_play,home_yards_per_rush,home_yards_per_pass,result,close
September 6,nor,New Orleans,10,clt,Indianapolis,41,2007,0,0,0,0,0,1.8822239430224856,2.7698705006850393,1.843333474643201,-0.5418502941062332,1.876216737144783,1.7445033060950985,1.2194809953032015,0.8775516955963066,1.5865646391197783,0.8782044403394258,2.3272368135323664,2.750003104471393,-0.6036027225414755,3.0589408295004032,31,5.5
September 9,atl,Atlanta,3,min,Minnesota,24,2007,0,0,0,0,0,1.39410185859561,1.0392640088796425,-1.1284377421303664,0.5451271579416479,1.9567840228957993,0.6066906821034733,2.2959392267048635,0.868974991982015,2.5805680261998867,0.687963607894923,1.4511515678569398,1.6582181943400038,3.4315761373825215,0.46987095983737276,21,3.0
September 9,den,Denver,15,buf,Buffalo,14,2007,0,0,0,0,0,-0.2085586209882911,-0.028463702323038298,0.4856893835841322,2.193500711315898,-0.07188497724889331,0.042831573985097515,0.4248973079943341,-1.917569277093778,-2.2701062351282384,-1.1353576058655022,0.3482348687082586,-0.19195058055526593,1.3196932625655016,-0.17573939640985137,-1,-3.0
September 9,mia,Miami,13,was,Washington,16,2007,0,0,0,0,0,1.393596394200209,1.374627515967587,0.43190738324578615,0.5042222421899887,1.6866437200735356,1.1836131414340385,1.632781305829072,2.1651781750855736,0.8726528066523955,2.6478200036556143,1.4907656782267762,0.7943826299412768,0.36768715064984314,1.582313094553301,3,3.0
September 9,phi,Philadelphia,13,gnb,Green Bay,16,2007,0,0,0,0,0,0.38261162408243854,0.3101582659149612,0.8355174630778193,2.0756213914396304,0.7163451697504423,-1.5673377596529374,1.4140112874267774,-0.021798978155608606,-1.0381322372256698,0.45310134856487605,0.5581660039453366,1.2364113958006266,0.097144275518254,1.1485856537706483,3,-3.0
September 9,pit,Pittsburgh,34,cle,Cleveland,7,2007,0,0,0,0,0,-0.5040478228627558,-0.9785759650718009,-0.2918782030694378,2.096179416314243,-0.9431962692907033,-0.3463357788698298,-0.9013015656203177,-0.6256544457973668,-1.3252439491367702,-0.5782614438700336,-0.22757154521191303,-1.0355641776340216,0.5803787419544562,-1.7947460919546665,-27,-5.0
September 9,oti,Tennessee,13,jax,Jacksonville,10,2007,0,0,0,0,0,0.6854538886511594,-0.3407527856644579,-0.06486289202593815,0.07159263085707962,0.9313798595112895,0.8045401963339843,1.274340440981826,0.7676176887405307,0.37565111311234245,0.42397746745308523,-0.16162842959009593,-0.4369458727509047,0.8123540945347283,-0.48034476594305964,-3,7.5
September 9,kan,Kansas City,3,htx,Houston,20,2007,0,0,0,0,0,0.8047518562734546,-0.37058079190945525,-2.7488839163052563,2.3781809898782535,0.8932829848050258,-0.14908005333078203,0.8199593397426995,0.6619720336919,0.8235117055637552,0.5805523070064489,0.46620792032570535,0.566433284208616,0.12124897711282656,0.8175043912255224,17,3.0
September 9,tam,Tampa Bay,6,sea,Seattle,20,2007,0,0,0,0,0,-0.17680213210981555,-0.9672356535739317,1.0786002239453878,0.17337068901285335,0.278976915853772,-0.15858067239419227,1.227230561558172,0.37505353119603463,-0.10029010853257904,0.3748139287881945,-0.8524207565177271,-1.8109939888608773,-1.323633481876863,-1.3676470958461477,14,6.0
September 9,det,Detroit,36,rai,Oakland,21,2007,0,0,0,0,0,0.022656963158315335,0.6112702651583859,-1.4281356937098872,-0.41934668084881843,-0.29482128878601654,-0.8097856581442926,-1.704130332941061,-1.9218576289009253,-1.8222456426768243,-1.3501802076424487,0.3854899149764418,0.21281027152113485,0.8316378558103852,-0.11945444520664139,-15,2.5
September 10,rav,Baltimore,20,cin,Cincinnati,27,2007,0,0,0,0,0,0.3186243410244518,-0.269497352827886,-2.065061297984645,-0.21448704163644516,0.7378817489734686,-1.100918936921159,0.3991710404449029,0.26511952434025854,-0.35230103395179574,0.7908327970040511,1.424114086435382,-0.03218502067450102,-3.7398058140578714,2.171638499597314,7,3.0
September 10,crd,Arizona,17,sfo,San Francisco,20,2007,0,0,0,0,0,-1.0024213464676066,-1.4958231541771307,-1.0683555283927944,2.1230003179248977,-1.2206354464879423,0.6916614049693455,-0.5458614245236781,-0.12315628139709209,1.5795444818214022,-1.0033645356445833,-0.5318198281702775,-2.147571055085382,-0.1348310770620179,-2.539669461260043,3,3.5
